time,latitude,longitude,depth,mag
1922-09-01T19:16:07.000Z,24.33,121.842,20,7.1
1922-10-14T23:46:52.000Z,24.613,121.325,15,7
1922-11-07T23:00:17.000Z,-28.365,-71.96,25,7
1922-11-11T04:32:51.000Z,-28.293,-69.852,70,8.3
1923-02-02T05:07:48.000Z,53.633,160.692,35,7.2
1923-02-03T16:01:50.000Z,54.486,160.472,15,8.4
1923-02-24T07:34:44.000Z,55.388,163.265,15,7.3
1923-03-02T16:48:34.000Z,7.619,124.857,15,7
1923-03-24T12:40:17.000Z,31.295,100.75,15,7
1923-05-04T16:26:48.000Z,55.828,-156.832,25,7
1923-06-22T06:44:40.000Z,22.845,98.711,25,7.2
1923-09-01T02:58:00.000Z,35.4,139.2,15,8.1
1923-09-01T02:58:35.000Z,35.413,139.298,15,8.1
1923-09-02T02:46:41.000Z,35.007,139.926,15,7.8
1923-10-07T03:29:38.000Z,-1.231,129.55,15,7.4
1923-11-04T00:04:35.000Z,-4.619,153.001,35,7
1924-03-04T10:07:53.000Z,9.791,-83.915,15,7.1
1924-04-14T16:20:36.000Z,6.722,126.038,15,8
1924-05-04T16:51:50.000Z,-21.246,-178.755,535,7.1
1924-06-26T01:37:33.000Z,-56.198,158.563,10,7.5
1924-07-03T04:40:12.000Z,36.983,84.164,10,7
1924-07-24T04:55:19.000Z,-49.522,158.911,15,7.1
1924-08-14T18:02:41.000Z,36.135,141.387,15,7
1924-08-30T03:04:59.000Z,8.963,126.893,15,7.1
1925-01-18T12:05:56.000Z,47.803,153.607,35,7.2
1925-03-22T08:41:58.000Z,-18.7,168.574,35,7.2
1925-04-11T10:42:06.000Z,-34.646,58.358,10,7.1
1925-04-16T19:52:41.000Z,21.788,121.1,15,7
1925-05-03T17:21:47.000Z,1.19,126.304,15,7.1
1925-06-03T04:33:54.000Z,1.292,126.01,15,7
1925-06-09T13:40:23.000Z,-4.015,143.467,25,7
1925-08-19T12:07:32.000Z,55.35,167.086,15,7
1925-10-13T17:40:38.000Z,10.794,-42.266,10,7.2
1925-11-10T13:50:37.000Z,-0.652,130.62,15,7.3
1925-11-13T12:14:51.000Z,12.653,124.767,20,7.2
1925-11-16T11:55:01.000Z,18.496,-106.846,15,7
1926-01-25T00:36:25.000Z,-10,159.248,15,7.6
1926-02-08T15:18:02.000Z,12.299,-88.666,20,7.2
1926-03-21T14:19:09.000Z,-60.879,-23.662,10,7
1926-03-27T10:48:39.000Z,-8.943,157.446,15,7
1926-04-12T08:32:32.000Z,-10.349,161.634,15,7.3
1926-08-25T05:44:46.000Z,-23.145,172.139,20,7
1926-09-02T01:21:51.000Z,-34.455,57.906,10,7
1926-09-10T10:34:27.000Z,-9.156,110.617,35,7.1
1926-09-16T17:59:12.000Z,-9.504,159.451,15,7.1
1926-10-03T19:38:05.000Z,-50.182,159.597,10,7.4
1926-10-13T19:08:18.000Z,51.49,-175.288,40,7
1926-10-26T03:44:45.000Z,-2.834,139.283,35,7.6
1926-11-05T07:55:27.000Z,12.598,-86.875,15,7
1927-01-24T01:05:47.000Z,-18.313,167.64,30,7.1
1927-02-16T01:35:26.000Z,46.545,153.553,15,7
1927-03-03T01:05:10.000Z,-6.718,122.094,15,7.1
1927-03-07T09:27:42.000Z,35.632,135.013,10,7
